基金简称,基金公司,省份
箐安进取二号,箐安投资,上海
绰瑞北岳25号,上海绰瑞私募,上海
元兹富兴B类份额,元兹投资,上海
复胜富盛一号,复胜资产,上海
瑞鑫天算98号A类份额,瑞鑫天算,北京
天钲瀚见龙3号量化多头B类份额,广州天钲瀚,广东
鼎萨价值成长2期,鼎萨投资,北京
丰琰中国优势一期,丰琰私募,浙江
坤呈开阳1号,海南坤呈私募,海南
元兹富兴A类份额,元兹投资,上海
赫富心享1000指数增强1号A类份额,赫富投资,上海
日斗拙诚,日斗投资,广东
阿巴马乘风破浪B类份额,阿巴马投资,广东
开思沪港深优选2号,开思私募,上海
明汯股票精选1期,明汯投资,上海
盛天价值成长2号,盛天投资,广东
神农臻选极品,神农投资,北京
慧创蚨祥裕己1号,慧创蚨祥,广东
瀚鑫泰安十一号,瀚鑫基金,广东
彼得明奇-明熙瑀瑭新昇力,彼得明奇私募,江西
巴克夏周周利5号,巴克夏投资,浙江
桀新量化小盘轮动一号,桀新投资,上海
夷吾晓牛3号,前海夷吾资产,广东
墨竹睡美人三号,墨竹基金,海南
慧创蚨祥裕卯,慧创蚨祥,广东
上海黑极资产价值精选1号,黑极私募基金,上海
信弘中证500指数增强2号A类份额,信弘天禾,北京
云起量化指数增强7号,云起量化,浙江
优波五号A类份额,优波资本,上海
复胜正能量三号E期,复胜资产,上海
世纪前沿中证2000指数增强1号B类份额,世纪前沿,海南
期成丛源千里一号,期成投资,浙江
壹点纳锦长虹A类份额,壹点纳锦(泉州)私募,福建
裕恒资本双龙2号,裕恒资本,浙江
日斗中农创价值一号,日斗投资,广东
日斗鲲鹏价值1号,日斗投资,广东
鸣石宽墨七号,鸣石基金,上海
稳博全A增强1号A类份额,稳博投资,上海
开思沪港深优选B类份额,开思私募,上海
兆天金牛精选2号,兆天投资,上海
西京中国新经济,觅确私募,上海
协盈东方红一号,深圳协盈,广东
量派中证2000指数增强62号C类份额,量派投资,上海
西京新时代,觅确私募,上海
金时瑞庭一号,金时(厦门)资产,福建
紫竹二号,天戈投资,上海
巴克夏月月利1号,巴克夏投资,浙江
华年进取2号A类份额,华年私募,上海
安子极客中证1000增强一号A类份额,安子基金,广东
磐松微盘股指数增强1号,磐松资产,上海
鼎泰四方福华1号A类份额,鼎泰四方(深圳),广东
智钱智元成长价值1号,智钱投资,上海
盛冠达铭昕价值精选1号A类份额,盛冠达,海南
玄元元丰26号A类份额,玄元投资,广东
天钲瀚见龙3号量化多头一期A类份额,广州天钲瀚,广东
上海高恩价值策略3号A类份额,上海高恩私募,上海
望华卓越善水私募证券投资基金,望华卓越,山东
草本致远1号B类份额,草本投资,广东
创富福星九号,创富兆业,广东
瀚鑫纸鸢量化优选A类份额,瀚鑫基金,广东
鑫厚庆丰1号,鑫厚投资,浙江
兆意宏起77号,兆意投资,江西
博闻竞选二号,博闻投资,广东
富赢九章量化1号A类份额,共青城富赢资产,江西
平方和鼎盛中证1000指数增强8号B类份额,平方和投资,浙江
博润银泰彼岸成长对冲1号A类份额,博润银泰投资,北京
陶山天时复利一号,上海陶山私募,上海
卓里奇2号,卓里奇(武汉)私募,湖北
晓鹰投资缘云1号,晓鹰基金,海南
数弈众城量化稳进1期,数弈众城投资,江苏
